公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京多贝兄弟信息技术有限公司,多贝网,50-150人,上市公司,海淀区,运维开发工程师,3-5年,本科,15k-25k,"六险一金,不打卡,免费午餐,都是年轻人"
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,运维开发工程师,3-5年,本科,15k-30k,"五险一金,补充医疗,弹性工作,氛围轻松"
贝壳找房（北京）科技有限公司,贝壳,2000人以上,C轮,海淀区,资深运维开发工程师,3-5年,本科,25k-50k,"15薪,大平台,三餐免费,健身房"
竹间智能科技（上海）有限公司,竹间智能科技(上海)有限公司,150-500人,B轮,海淀区,运维开发工程师,1-3年,本科,18k-36k,弹性工作 平台好 人工智能
环球合一网络技术（北京）股份有限公司,环球合一,150-500人,B轮,海淀区,运维开发工程师,1-3年,本科,10k-20k,"团队氛围好,补充保险,弹性工时,晋升空间大"
北京搜狗科技发展有限公司,搜狗,2000人以上,上市公司,海淀区,商业平台-运维开发工程师,3-5年,本科,20k-40k,"组织扁平,技术氛围好,团队融洽"
北京七彩焕腾科技有限公司,七彩焕腾,150-500人,B轮,朝阳区,运维开发工程师,3-5年,本科,12k-18k,"互联网,弹性工作"
互动峰科技(北京)有限公司,好大夫在线,500-2000人,D轮及以上,朝阳区,运维开发工程师,不限,本科,20k-40k,"大公司,大平台,发展机会多,空间大"
北京默契破冰科技有限公司,玩吧,150-500人,B轮,东城区,运维开发工程师,3-5年,本科,25k-35k,"独立健身房,免费午餐,季度旅游,七险一金"
北京展心展力信息科技有限公司,展心展力,50-150人,A轮,朝阳区,开发运维工程师,3-5年,本科,10k-20k,"高期权,环境好,福利好"
北京华樾教育科技有限公司,华樾教育,150-500人,不需要融资,海淀区,运维开发工程师,5-10年,本科,18k-30k,"七险一金,年底双薪,弹性工作,出国游"
北京易联纵横科技有限公司,PXN,50-150人,不需要融资,朝阳区,运维开发开发工程师,3-5年,本科,20k-40k,运维开发
便利蜂商贸有限公司,便利蜂,2000人以上,不需要融资,朝阳区,运维开发工程师(J10995),3-5年,本科,30k-50k,"五险一金,14薪"
中国搜索信息科技股份有限公司,中国搜索,500-2000人,不需要融资,东城区,运维开发工程师,3-5年,本科,15k-20k,薪酬福利好，领导nice，补充医疗，节日福利
北京小度互娱科技有限公司,百度视频,150-500人,B轮,海淀区,运维开发工程师,1-3年,本科,10k-20k,福利优厚
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,高级运维开发工程师,3-5年,本科,30k-45k,"高薪,期权"
北京多来点信息技术有限公司,哗啦啦,500-2000人,不需要融资,西城区,运维开发工程师,1-3年,本科,10k-15k,带薪年假 专业培训 五险 双休
先锋智道（北京）科技有限公司,AA租车,2000人以上,不需要融资,朝阳区,运维开发工程师,5-10年,本科,15k-25k,"全额五险,一金,补充医疗,工作居住证"
微梦创科网络科技（中国）有限公司,新浪微博,2000人以上,上市公司,海淀区,运维开发工程师,3-5年,本科,20k-40k,"发展前景,福利待遇"
北京易数科技有限公司,GrowingIO,150-500人,A轮,朝阳区,运维开发工程师,3-5年,本科,20k-35k,技术驱动、期权激励
北京凯拉斯信息技术有限公司,凯拉斯,50-150人,A轮,西城区,运维开发工程师,1-3年,本科,5k-8k,"五险一金,补助,法定假日,年终奖金"
北京下厨房科技有限公司,下厨房,50-150人,B轮,海淀区,运维开发工程师,3-5年,本科,15k-25k,"超长年假,免费午餐,弹性工作,还有好多"
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,朝阳区,高级运维开发工程师,5-10年,本科,30k-60k,前沿科技
互动峰科技(北京)有限公司,好大夫在线,500-2000人,D轮及以上,朝阳区,运维开发工程师,3-5年,本科,15k-30k,"薪资福利好,发展平台大"
雷尚（北京）科技有限公司,雷尚科技,150-500人,上市公司,海淀区,运维开发工程师,5-10年,本科,15k-25k,"六险一金,福利待遇好"
广州摩翼信息科技有限公司,翼课网,500-2000人,不需要融资,大兴区,运维开发工程师,1-3年,本科,15k-25k,"团队优秀,餐补水果,弹性办公,快速成长"
北京搜狗科技发展有限公司,搜狗,2000人以上,上市公司,海淀区,技术工程部-虚拟化运维开发工程师,3-5年,本科,21k-40k,团队气氛好
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,高级/资深运维开发工程师,3-5年,本科,18k-35k,"大平台,高福利,优质团队,发展空间"
北京金山软件有限公司,金山办公软件,2000人以上,上市公司,海淀区,运维开发工程师,1-3年,本科,10k-20k,"免费三餐,免费班车,各种团建,六险一金"
上海七牛信息技术有限公司,七牛云,500-2000人,D轮及以上,朝阳区,运维开发工程师,1-3年,本科,12k-24k,六险一金、免费健身、弹性工作、绩效奖金
影时光网络技术（北京）有限公司,时光网-Mtime,500-2000人,不需要融资,朝阳区,运维开发工程师,5-10年,本科,15k-25k,"平台好,福利全面,发展空间大,团队优秀"
华风象辑（北京）气象科技有限公司,象辑科技,50-150人,B轮,海淀区,运维开发工程师,1-3年,本科,10k-15k,"扁平化管理,13薪,福利好,晋升空间大"
北京田米科技有限公司,田米科技,2000人以上,D轮及以上,海淀区,资深运维开发工程师,不限,本科,20k-40k,"空间大,福利好,有期权"
大鱼快乐有限公司,阿里文娱,2000人以上,上市公司,朝阳区,运维开发工程师,3-5年,本科,25k-50k,阿里平台
微梦创科网络科技（中国）有限公司,新浪微博,2000人以上,上市公司,,运维开发工程师（中高级）,3-5年,本科,15k-30k,"大平台福利,带薪年假,出境游,六险一金"
北京狸米科技有限公司,狸米科技,150-500人,B轮,朝阳区,运维开发,3-5年,本科,17k-30k,"成长空间大,公司福利好"
动视云（北京）科技有限公司,动视云科技,50-150人,A轮,海淀区,运维开发,3-5年,本科,10k-20k,"年假双休,福利午餐,通讯补助,股票期权"
网联清算有限公司,网联,150-500人,不需要融资,西城区,高级运维开发工程师,5-10年,大专,25k-40k,"大平台,业务量庞大,扁平化管,牛人多"
北京飞渔网络科技有限公司,飞渔科技,150-500人,不需要融资,朝阳区,运维开发工程师,3-5年,本科,18k-25k,"五险一金,团建,领导好,带薪休假"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,存储运维开发工程师,1-3年,本科,20k-40k,六险一金，弹性工作，免费三餐，租房补贴
北京微光果壳科技有限公司,微壳,150-500人,不需要融资,朝阳区,【高级运维开发工程师】,3-5年,本科,25k-50k,"Geek,核心岗位,六险一金,海外旅游"
北京凌云雀科技有限公司,灵雀云,150-500人,B轮,海淀区,运维开发工程师,不限,本科,10k-20k,技术领先，团队靠谱，工程师文化，扁平管理
车满满（北京）信息技术有限公司,车满满,150-500人,B轮,朝阳区,运维开发工程师,3-5年,本科,15k-30k,"带薪休假,六险一金,股票期权,狼性团队"
北京奇安信科技有限公司,360企业安全,2000人以上,不需要融资,朝阳区,运维开发工程师,3-5年,本科,15k-25k,"平台成熟,带薪年假,餐贴补助,六险一金"
一点网聚科技有限公司,一点资讯,500-2000人,D轮及以上,朝阳区,资深运维开发工程师,5-10年,本科,20k-40k,"PV服务,shell,开源软件"
北京搜狗科技发展有限公司,搜狗,2000人以上,上市公司,海淀区,搜狗商业搜索广告-高级运维开发工程师,3-5年,本科,20k-35k,业界技术牛人、全栈运维开发、部门核心业务
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,运维开发经理,5-10年,本科,20k-40k,"节日福利,健身器材,六险一金,零食多多"
亚联（天津）信息技术有限责任公司,亚联信息,500-2000人,不需要融资,大兴区,运维开发工程师(J10472),3-5年,本科,13k-18k,"领导好,自动化"
北京闲徕互娱网络科技有限公司,闲徕互娱,500-2000人,不需要融资,朝阳区,运维开发工程师,3-5年,本科,15k-30k,"六险一金,绩效奖金,年度旅游,健身房"
北京卓众出版有限公司,卓众传媒,150-500人,不需要融资,朝阳区,运维开发工程师,1-3年,不限,8k-12k,"有挑战,资源好,前途可期,有学习机会"
北京雪球信息科技有限公司,雪球,150-500人,D轮及以上,朝阳区,资深运维开发工程师,5-10年,本科,20k-35k,"六险一金,免费午餐,扁平管理,成长空间大"
北京西会科技有限公司,KuickDeal,50-150人,A轮,海淀区,devops /运维开发工程师,3-5年,本科,15k-30k,"周末双休,带薪年假,五险一金,水果零食"
北京彩彻区明科技有限公司,彩彻区明科技,15-50人,A轮,海淀区,运维开发工程师,3-5年,本科,14k-20k,"半年一调薪,补充医疗,午餐和水果,期权奖励"
北京达佳互联信息技术有限公司,快手,500-2000人,D轮及以上,海淀区,运维开发工程师-全球化,3-5年,本科,25k-50k,"公司好,福利好"
北京小度互娱科技有限公司,百度视频,150-500人,B轮,海淀区,运维开发工程师/实习,1-3年,本科,10k-20k,团队优秀
凡普金科集团有限公司,凡普金科,2000人以上,不需要融资,东城区,运维开发工程师-paas平台,3-5年,本科,20k-40k,"六险一金,数据驱动,敏捷开发,行业风口"
泰康保险集团股份有限公司,泰康保险集团,2000人以上,不需要融资,昌平区,运维开发工程师,3-5年,本科,15k-30k,"金融科技,成长空间,平台大,弹性工作"
