公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
泰康在线财产保险股份有限公司,泰康在线,500-2000人,不需要融资,昌平区,运维工程师,3-5年,本科,10k-15k,"弹性工作,福利待遇好,工作氛围好,发展空"
天津融宝支付网络有限公司,融宝支付,150-500人,不需要融资,东城区,系统运维工程师,3-5年,本科,18k-20k,"年底双薪,绩效奖金,六险一金,高额补贴"
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,AWS运维工程师,3-5年,本科,15k-25k,"硅谷范办公,健身器材,水果零食,六险一金"
北京掌通未来科技有限公司,掌通未来,150-500人,不需要融资,海淀区,运维工程师,3-5年,本科,18k-30k,"五险一金,带薪年假,免费下午茶"
北京大圣互动科技有限公司,大圣互动,15-50人,B轮,朝阳区,运维工程师,3-5年,本科,12k-20k,"海外业务,全额公积金,高并发业务,一流团队"
中科弘清（北京）科技有限公司,中科弘清,15-50人,未融资,朝阳区,运维工程师,1-3年,本科,8k-10k,"六险一金,周末双休,节假日福利,地铁周边"
北京轻松筹网络科技有限公司,轻松筹,500-2000人,C轮,东城区,运维工程师,3-5年,大专,15k-25k,位置便利、五险一金、弹性工作
乐视网信息技术（北京）股份有限公司,乐融集团,2000人以上,上市公司,朝阳区,运维工程师,不限,本科,10k-20k,"六险一金,福利补贴,带薪病假,年底双薪"
杭州才云科技有限公司,Caicloud,50-150人,B轮,海淀区,资深软件实施和运维工程师,3-5年,本科,15k-30k,"谷歌团队,技术大牛,弹性工时,福利多多"
北京富通东方科技有限公司,富通东方,500-2000人,上市公司,海淀区,运维工程师,1-3年,本科,10k-15k,"五险一金,餐补,带薪年假,年度体检"
贵阳动视云科技有限公司,动视云科技,50-150人,A轮,海淀区,运维工程师,3-5年,本科,10k-20k,六险一金 每月团建 带薪年假 扁平管理
北京数美时代科技有限公司,数美,150-500人,B轮,朝阳区,运维工程师,1-3年,本科,15k-25k,"大牛如云,技术氛围,大佬领投,全员持股"
北京思享聚合科技有限公司,轻课,50-150人,A轮,朝阳区,运维工程师,3-5年,本科,10k-15k,福利待遇、发展前景
北京聚道科技有限公司,GeneDock,15-50人,B轮,海淀区,高级运维工程师,5-10年,本科,15k-30k,"五险一金,免费午餐,技术超前,团队融洽"
北京开普互联科技有限公司,开普互联,150-500人,未融资,海淀区,运维工程师,3-5年,本科,8k-15k,"政务项目,团队氛围好,公积金全额,试用期五险"
网联清算有限公司,网联,150-500人,不需要融资,西城区,运维工程师,1-3年,本科,15k-25k,"大平台,晋升通道多,高福利,扁平化"
北京星尘纪元智能科技有限公司,星尘数据,15-50人,A轮,朝阳区,运维工程师,不限,本科,10k-15k,"六险一金,10+年假"
广州哈奇智能科技有限公司北京分公司,哈奇智能,50-150人,不需要融资,朝阳区,运维工程师,3-5年,本科,10k-20k,"五险一金,年节礼金,弹性工作,工会福利"
北京作业盒子科技有限公司,作业盒子,500-2000人,C轮,朝阳区,高级运维工程师 (MJ000914),3-5年,本科,18k-36k,"年底多薪,氛围好"
北京明途真科技有限公司,ME2ZEN,50-150人,不需要融资,东城区,运维工程师,1-3年,本科,10k-20k,"六险一金,奢华境外游,自助午晚餐,年底多薪"
北京金山云网络技术有限公司,金山云,500-2000人,D轮及以上,海淀区,高级运维工程师,3-5年,本科,20k-40k,"免费三餐,免费班车,下午茶,节日福利"
北京轻松筹网络科技有限公司,轻松筹,500-2000人,C轮,东城区,运维工程师,3-5年,大专,10k-20k,"五险一金,位置好,福利好,零食多"
北京沃丰时代数据科技有限公司,Udesk－企业级智能客服平台,150-500人,C轮,,运维工程师,1-3年,本科,8k-15k,行业爆发期，团队强悍，待遇丰厚
