公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
国美金控投资有限公司,国美金控,2000人以上,未融资,朝阳区,DBA工程师,3-5年,本科,20k-30k,14薪
北京世纪好未来教育科技有限公司,好未来,2000人以上,上市公司,海淀区,信息流程-DBA工程师,3-5年,本科,18k-25k,团队氛围好
北京信链科技有限公司,信链科技,150-500人,A轮,朝阳区,DBA工程师,3-5年,本科,15k-30k,"技术氛围浓,领导nic"
北京智能广宣科技有限公司,智能广宣,15-50人,不需要融资,朝阳区,DBA,3-5年,本科,10k-20k,"五险一金,补充医保,优秀团队"
北京集联软件科技有限公司,集联软件,150-500人,未融资,丰台区,DBA工程师,1-3年,本科,8k-15k,"团队氛围好,提供住宿,餐补,双休"
北京轻松筹网络科技有限公司,轻松筹,500-2000人,C轮,东城区,DBA工程师,3-5年,大专,10k-20k,"五险一金,长腿欧巴,位置好,福利好"
瑞幸咖啡（中国）有限公司,瑞幸咖啡,2000人以上,A轮,海淀区,DBA,3-5年,本科,15k-30k,升值空间大
凡普金科集团有限公司,凡普金科,2000人以上,不需要融资,东城区,DBA,5-10年,不限,30k-50k,"技术氛围,发展空间,自主空间,学习环境"
北京人大金仓信息技术股份有限公司,人大金仓,150-500人,不需要融资,朝阳区,实施DBA（2018年毕业生）,1年以下,本科,6k-8k,"六险一金,话费补助,交通补助,饭补"
北京陌陌科技有限公司,陌陌,500-2000人,上市公司,朝阳区,DBA工程师,1-3年,不限,15k-30k,"技术挑战,工作氛围好,绩效奖金"
上海熊猫互娱文化有限公司北京分公司,熊猫直播,500-2000人,未融资,朝阳区,DBA,1-3年,本科,15k-25k,"产品前景,技术大牛,待遇好,环境佳"
北京奥鹏远程教育中心有限公司,慕课网,50-150人,不需要融资,海淀区,DBA工程师,3-5年,本科,15k-30k,"空间无限大,补充医疗,团队优秀,管晚餐"
北京猫眼文化传媒有限公司,猫眼电影,500-2000人,未融资,东城区,DBA工程师,3-5年,本科,18k-36k,"平台好,成长快"
北京小药药人工智能科技有限公司,小药药,500-2000人,B轮,朝阳区,DBA工程师,1-3年,大专,20k-30k,平台大
贝壳金科控股有限公司,贝壳金服,500-2000人,未融资,朝阳区,DBA工程师,3-5年,本科,20k-40k,"大平台,扁平化管理,技术氛围好,快速成长"
北京云杉世界信息技术有限公司,美菜网,2000人以上,D轮及以上,朝阳区,DBA工程师,5-10年,本科,18k-36k,"晋升空间,福利待优厚"
北京快跑信息科技有限公司,小猪短租,150-500人,D轮及以上,海淀区,DBA工程师(J10140),1-3年,不限,25k-45k,"六险一金,待遇好"
北京每日优鲜便利购电子商务有限公司,每日优鲜便利购,2000人以上,B轮,朝阳区,DBA工程师,3-5年,本科,15k-30k,"六险一金,绩效奖金,牛人团队,领导nic"
北京五八到家信息技术有限公司,58到家,50-150人,天使轮,朝阳区,资深DBA工程师,5-10年,本科,20k-28k,六险一金；年底双薪
北京达佳互联信息技术有限公司,快手,500-2000人,D轮及以上,海淀区,DBA工程师,1-3年,本科,15k-30k,"弹性工作,技术驱动,发展空间大"
北京智融时代信息技术有限公司,智融集团,150-500人,C轮,海淀区,DBA工程师,3-5年,本科,15k-30k,"文化开放,弹性不打卡,发展快速,上升空间"
北京陌陌科技有限公司,陌陌,500-2000人,上市公司,朝阳区,高级DBA工程师,3-5年,本科,20k-35k,"餐补,交通补,技术氛围好"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,资深DBA工程师/专家-北京,5-10年,本科,30k-50k,平台发展快，团队氛围好，个人发展空间大。
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,高级DBA工程师,5-10年,本科,15k-28k,"六险一金,弹性工作,多云环境,学习资源多"
北京国双科技有限公司,Gridsum 国双,500-2000人,上市公司,海淀区,高级DBA工程师,3-5年,本科,15k-25k,上市公司 发挥空间 折腾技术 牛人多
北京融联世纪信息技术有限公司,融360,500-2000人,D轮及以上,海淀区,2019校招-DBA开发工程师,应届毕业生,本科,13k-17k,"团队专业,锻炼能力,成长快"
福州龙腾简合网络技术有限公司,龙腾简合,500-2000人,未融资,朝阳区,高级DBA工程师,5-10年,本科,20k-35k,"公司发展好,团队氛围好,岗位有挑战,福利齐全"
shsnc,shsnc,500-2000人,不需要融资,海淀区,oracle DBA,3-5年,大专,15k-25k,"节日礼物,岗位晋升,团队聚餐,准上市"
北京快快网络技术有限公司,真融宝,150-500人,B轮,海淀区,DBA研发工程师,3-5年,本科,25k-35k,"工作环境,发展空间,不打卡"
中青博联整合营销顾问股份有限公司,中青博联,500-2000人,上市公司,东城区,oracle DBA工程师,3-5年,不限,10k-20k,上市公司
北京踏浪者科技有限公司,踏浪者,500-2000人,B轮,朝阳区,DBA高级开发工程师,3-5年,本科,20k-30k,"五险一金,年底双薪,加班补助,年终奖金"
学分在线（北京）国际数据科技有限公司,学分在线,15-50人,A轮,海淀区,MBA/DBA课程顾问-招生,1-3年,不限,5k-10k,晋升空间大、发展前景好、交通便利、双休
北京快跑信息科技有限公司,小猪短租,150-500人,D轮及以上,海淀区,DBA工程师（校招）(J10262),应届毕业生,本科,9k-13k,"领导好,节假日福利,餐补,氛围好"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,资深DBA工程师/专家-北京,5-10年,本科,25k-40k,团队发展快
学分在线（北京）国际数据科技有限公司,学分在线,15-50人,A轮,海淀区,MBA/DBA课程招生专员,1-3年,不限,5k-10k,"交通便利,双休,发展空间大"
北京智融时代信息技术有限公司,智融集团,150-500人,C轮,海淀区,高级DBA工程师,3-5年,不限,20k-40k,六险一金、大牛云集、上升空间、技术氛围
北京富讯盈科网络技术有限公司,北京富讯盈科,15-50人,不需要融资,西城区,Oracle DBA/数据库管理员,1-3年,大专,7k-9k,"公司稳定,五险一金,交通补助,年终奖励"
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,PG DBA—平台事业部(J13179),3-5年,本科,20k-35k,"16薪,十天年假,六险一金"
北京腾云天下科技有限公司,TalkingData,500-2000人,C轮,东城区,高级DBA工程师(J10211),不限,本科,20k-30k,环境好
蓝港在线（北京）科技有限公司,蓝港互动集团,500-2000人,上市公司,朝阳区,高级 ORACLE DBA,5-10年,本科,15k-25k,"七险一金,弹性上下班"
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,DBA：(Gcloud解决方案交付),不限,本科,15k-20k,"五险一金,带薪休假"
北京云英传奇技术有限公司,CloudIn,50-150人,A轮,朝阳区,DBA/数据库工程师（以维护为主）,3-5年,本科,15k-30k,"发展空间大,扁平管理"
马上消费金融股份有限公司,马上金融,2000人以上,不需要融资,朝阳区,IT-DBA技术经理/架构师,5-10年,本科,15k-30k,"持牌机构,五险一金,餐费补助"
北京影合众新媒体技术服务有限公司,乐影网,150-500人,A轮,东城区,DBA数据仓储工程师,3-5年,本科,15k-30k,"前景好,团队成熟"
北京瑞地科技有限公司,REDEFINE,150-500人,不需要融资,朝阳区,数据库工程师（DBA）,3-5年,本科,25k-35k,"五险一金,股票期权,带薪年假,出海项目"
上海艾融软件股份有限公司,艾融股份,500-2000人,上市公司,海淀区,DBA数据库工程师,3-5年,本科,9k-12k,"五险一金,节日福利,带薪年假,定期体检"
贝壳找房（北京）科技有限公司,贝壳,2000人以上,C轮,海淀区,资深数据库工程师（DBA),5-10年,本科,30k-40k,"公司氛围好,内部成长快,免费三餐,15薪"
上海爱可生信息技术股份有限公司,爱可生,150-500人,B轮,朝阳区,MySQL DBA,3-5年,本科,10k-20k,"新三板,技术大牛,团建活动"
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,PostgreSQL DBA -度假事业部(J11672),1-3年,本科,15k-30k,团队氛围融洽，帅哥美女多，年假多，年终奖
北京信链科技有限公司,信链科技,150-500人,A轮,朝阳区,MySQL DBA,3-5年,本科,15k-30k,"风口行业,技术大牛,六险一金,年终多薪"
北京轻松筹网络科技有限公司,轻松筹,500-2000人,C轮,东城区,数据库管理员（DBA）,3-5年,本科,20k-35k,福利待遇、发展平台、五险一金、带薪年假
北京北方科诚科技股份有限公司,北京北方科诚科技股份有限公司,50-150人,上市公司,海淀区,数据库开发（DBA）,3-5年,大专,10k-16k,五险一金、定期体检
平安健康保险股份有限公司,平安健康保险,500-2000人,未融资,朝阳区,运维工程师 (或DBA),3-5年,本科,12k-20k,"福利好,平安集团"
北京狸米科技有限公司,狸米科技,150-500人,B轮,朝阳区,数据库管理员DBA,3-5年,本科,12k-24k,"公司福利好,成长空间大"
北京源石智影科技有限公司,智影,50-150人,不需要融资,朝阳区,数据库管理员（DBA）,1-3年,本科,12k-18k,"朝阳行业,平台广阔,技术大牛,福利丰厚"
北京五八到家信息技术有限公司,58到家,50-150人,天使轮,朝阳区,MySQL DBA,3-5年,本科,20k-40k,"有大牛,氛围好,技术为王,天花板高"
北京与缘餐饮管理有限公司,湘与香缘,50-150人,不需要融资,海淀区,DBA数据库,应届毕业生,本科,9k-12k,"扁平管理,优秀团队,发展速度快"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,资深 MySQL DBA 工程师,3-5年,本科,30k-45k,"三餐,健身房,mac"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,数据库工程师（DBA）,1-3年,本科,20k-40k,六险一金
北京巨洲云科技有限公司,巨洲云科技,150-500人,上市公司,朝阳区,DBA工程师(MySQL),5-10年,本科,25k-45k,"团队稳定,技术好,福利健全"
北京蚂蜂窝网络科技有限公司,马蜂窝,500-2000人,D轮及以上,朝阳区,MySQL DBA (MJ000295),3-5年,不限,25k-30k,"免费早午饭,年度旅游,免费班车,六险一金"
北京壹平台科技有限公司,柚子网 壹平台,150-500人,D轮及以上,东城区,数据库管理员（DBA),1-3年,大专,10k-14k,六险一金，免费体检，午餐补助，话费补助
北京易点淘网络技术有限公司,易点租,500-2000人,D轮及以上,海淀区,dba数据库管理,3-5年,本科,25k-50k,C轮融资  14薪 弹性时间  餐补
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,DBA（19年应届生）—平台事业部(J13187),应届毕业生,本科,10k-20k,"16薪,十天年假,六险一金,转正机会"
北京五八到家信息技术有限公司,58到家,50-150人,天使轮,朝阳区,MySQL DBA,3-5年,本科,15k-30k,"有大牛,技术为王,氛围愉快,能成长"
尊嘉金融控股有限公司,尊嘉金控,50-150人,不需要融资,朝阳区,MYSQL DBA,3-5年,本科,15k-30k,"互联网券商,年底多薪,核心技术,股票期权"
北京火币天下网络技术有限公司,火币网,150-500人,A轮,海淀区,资深/高级DBA工程师（MySQL）,5-10年,本科,18k-36k,"奖金多,提升空间,领导nic"
北京宏天信业信息技术股份有限公司,宏天信业,50-150人,上市公司,石景山区,系统运维工程师\DBA,5-10年,本科,13k-22k,"周末双休,工作环境好,五险一金"
深圳市科联汇通科技有限公司北京分公司,深圳市科联汇通科技有限公司北京分公司,150-500人,未融资,海淀区,数据库管理员（DBA）,3-5年,大专,10k-15k,"双休,五险一金,节假日福利"
新浪网技术（中国）有限公司,新浪网,2000人以上,上市公司,海淀区,高级MySQL DBA,3-5年,本科,15k-30k,免费早餐，六险一金，通勤班车，员工宿舍
小糖互联（北京）网络科技有限公司,糖豆,50-150人,B轮,海淀区,DBA工程师（MySQL）,3-5年,本科,20k-40k,"蓝海领域,无限空间,追求极致,六险一金"
北京猎户星空科技有限公司,猎户星空,500-2000人,A轮,朝阳区,MySQL DBA,3-5年,本科,15k-30k,"发展前景好,高薪"
北京小易到家电子商务有限公司,小易到家,500-2000人,D轮及以上,海淀区,Mysql DBA,3-5年,大专,15k-25k,"大牛,餐补,七险一金,免费班车"
鑫泰智能汽车科技(天津)有限公司,车联网,150-500人,不需要融资,东城区,DBA运维工程师,3-5年,本科,18k-30k,晋升空间大，办公环境好 ，领导NICE
火眼金科（北京）网络科技有限公司上海分公司,火眼金科,15-50人,未融资,海淀区,数据库DBA,不限,本科,15k-20k,"节日福利,交通话补,午餐补贴,福利体检"
北京华樾教育科技有限公司,华樾教育,150-500人,不需要融资,海淀区,DBA（高级数据库开发工程师）,3-5年,本科,18k-30k,"七险一金,年底双薪,弹性工作,出国游"
北京共致开源信息科技有限公司,共致开源,50-150人,不需要融资,海淀区,数据库管理员DBA,1-3年,本科,7k-14k,"五险一金,年终奖,生日福利,节日福利"
轻易科技有限公司,轻易贷,2000人以上,上市公司,海淀区,MySQL DBA,3-5年,本科,20k-30k,五险一金、弹性工作制、上市期权股票
北京墨迹风云科技股份有限公司,墨迹天气,150-500人,C轮,朝阳区,DBA运维工程师,3-5年,本科,20k-30k,"偏平化管理,用户量极大,弹性工作,免费午餐"
北京久众长清科技有限公司,久众科技,50-150人,不需要融资,朝阳区,数据库管理员（DBA，中级）,3-5年,本科,15k-20k,"创业公司,五险一金,绩效奖金,带薪年假"
车好多旧机动车经纪(北京)有限公司,瓜子二手车直卖网,2000人以上,C轮,海淀区,DBA(资深数据库管理员),3-5年,大专,15k-30k,"平台大,技术牛"
上海奇虎科技有限公司,奇虎360,2000人以上,上市公司,朝阳区,运维开发DBA/SRE/运维开发工程师,3-5年,本科,20k-40k,牛人多、空间大、环境佳
厦门美图之家科技有限公司,美图公司,2000人以上,上市公司,海淀区,高级DBA数据库工程师-北京,3-5年,不限,25k-35k,"上市公司,亿级用户,千台服务器,容器化"
北京每日优鲜电子商务有限公司,每日优鲜,500-2000人,C轮,朝阳区,DBA（数据库管理员）,3-5年,不限,15k-30k,"团队棒,领导好"
北京嘀嘀无限科技发展有限公司,滴滴出行,2000人以上,不需要融资,海淀区,MySQL DBA(J180730010),3-5年,本科,25k-35k,丰厚年终奖
北京炫果壳信息技术股份有限公司,新浪动漫,150-500人,未融资,海淀区,Mysql DBA,3-5年,本科,15k-30k,"带薪年假,六险一金,大平台,晋升空间大"
北京智融时代信息技术有限公司,智融集团,150-500人,C轮,海淀区,MySQL DBA工程师,3-5年,本科,20k-40k,"六险一金,大牛云集,上升空间,技术氛围"
北京登云美业网络科技有限公司,北京登云美业,50-150人,不需要融资,朝阳区,mysql DBA,应届毕业生,本科,10k-20k,"五险一金,餐补,团建,节日福利"
微梦创科网络科技（中国）有限公司,新浪微博,2000人以上,上市公司,海淀区,数据库管理员（DBA）,1-3年,本科,30k-40k,带薪年假，大平台晋升机会，免费班车
南京旭品信息科技有限公司,南京旭品,50-150人,不需要融资,海淀区,mysql数据库DBA,3-5年,本科,9k-15k,"创业公司,弹性工作"
深圳市一电签信息技术有限公司,彩8,50-150人,不需要融资,东城区,DBA运维工程师（菲律宾）,不限,不限,32k-40k,"食堂宿舍,薪资优厚,年底双薪,涨薪资快"
互动峰科技(北京)有限公司,好大夫在线,500-2000人,D轮及以上,朝阳区,高级DBA（mysql）,5-10年,本科,30k-50k,"大公司,大平台,空间大,机会多"
拼途（北京）信息技术有限公司,嘀嗒出行,150-500人,D轮及以上,朝阳区,高级MySQL DBA,3-5年,本科,20k-25k,"需求讨论,Mysql,DBA"
